test_id;sub_test_id;description;analyzer;name
15012;;Gliukozės koncentracijos serume nustatymas;Konelab 20i;GLUC GOD
15013;;Gliukozės toleravimo mėginys po 2 val. serume;Konelab 20i;GLUC GOD
15019;;Kreatinino koncentracijos nustatymas;Konelab 20i;CREA Enz
15030;;Kalio koncentracijos nustatymas;Konelab 20i;K
15031;;Natrio koncentracijos nustatymas;Konelab 20i;Na
15077;;Protrombino aktyvumo nustatymas pagal Kviką (PT/INR);Sysmex CA-600;
15077;;Protrombino aktyvumo nustatymas pagal Kviką (PT/INR): Protrombino aktyvumo nustatymas pagal Kviką PT % ;Sysmex CA-600;PT%
15077;;Protrombino aktyvumo nustatymas pagal Kviką (PT/INR): Protrombino aktyvumo nustatymas pagal Kviką PT s ;Sysmex CA-600;PT
15077;;Protrombino aktyvumo nustatymas pagal Kviką (PT/INR): INR ;Sysmex CA-600;PT INR
15079;;Fibrinogeno koncentracijos nustatymas (apskaičiuojamas);Sysmex CA-600;dFbg
15080;;Aktyvinto dalinio tromboplastino laiko nustatymas (ADTL);Sysmex CA-600;APTT
15912;;Gliukozės koncentracijos plazmoje nustatymas;Konelab 20i;GLUC GOD
15982;;Gliukozės koncentracijos nustatymas po 1 valandos;Konelab 20i;GLUC GOD
15983;;Gliukozės toleravimo mėginys po 2 val. plazmoje;Konelab 20i;GLUC GOD
15991;;Kalis heparinizuota plazma (žalias mėgintuvėlis);Konelab 20i;K
16004;;5DIF bendras kraujo tyrimas (BKT) automatizuotu būdu;Mindray BC-6000, Celltac NIHON KOHDEN;
16004;;5DIF bendras kraujo tyrimas (BKT) automatizuotu būdu: Leukocitai (WBC) ;Mindray BC-6000, Celltac NIHON KOHDEN;WBC
16004;;5DIF bendras kraujo tyrimas (BKT) automatizuotu būdu: Eritrocitai (RBC) ;Mindray BC-6000, Celltac NIHON KOHDEN;RBC
16004;;5DIF bendras kraujo tyrimas (BKT) automatizuotu būdu: Hemoglobinas (HGB) ;Mindray BC-6000, Celltac NIHON KOHDEN;HGB
16004;;5DIF bendras kraujo tyrimas (BKT) automatizuotu būdu: Hematokritas (HCT);Mindray BC-6000, Celltac NIHON KOHDEN;HCT
16004;;5DIF bendras kraujo tyrimas (BKT) automatizuotu būdu: Eritrocitų vid.tūris (MCV);Mindray BC-6000, Celltac NIHON KOHDEN;MCV
16004;;5DIF bendras kraujo tyrimas (BKT) automatizuotu būdu: Vidut.hemogl. kiekis erit. (MCH);Mindray BC-6000, Celltac NIHON KOHDEN;MCH
